row_id,video_id,btc_kf_ordinal,frame_idx,kf_id,npy_file,local_row
0,L21_V001,1,0,L21_V001#f0000000,L21_V001.npy,0
1,L21_V001,2,90,L21_V001#f0000090,L21_V001.npy,1
2,L21_V001,3,261,L21_V001#f0000261,L21_V001.npy,2
3,L21_V001,4,351,L21_V001#f0000351,L21_V001.npy,3
4,L21_V001,5,411,L21_V001#f0000411,L21_V001.npy,4
5,L21_V001,6,531,L21_V001#f0000531,L21_V001.npy,5
6,L21_V001,7,711,L21_V001#f0000711,L21_V001.npy,6
7,L21_V001,8,858,L21_V001#f0000858,L21_V001.npy,7
8,L21_V001,9,921,L21_V001#f0000921,L21_V001.npy,8
9,L21_V001,10,1131,L21_V001#f0001131,L21_V001.npy,9
10,L21_V001,11,1281,L21_V001#f0001281,L21_V001.npy,10
11,L21_V001,12,1371,L21_V001#f0001371,L21_V001.npy,11
12,L21_V001,13,1551,L21_V001#f0001551,L21_V001.npy,12
13,L21_V001,14,1761,L21_V001#f0001761,L21_V001.npy,13
14,L21_V001,15,1887,L21_V001#f0001887,L21_V001.npy,14
15,L21_V001,16,2036,L21_V001#f0002036,L21_V001.npy,15
16,L21_V001,17,2130,L21_V001#f0002130,L21_V001.npy,16
17,L21_V001,18,2217,L21_V001#f0002217,L21_V001.npy,17
18,L21_V001,19,2288,L21_V001#f0002288,L21_V001.npy,18
19,L21_V001,20,2375,L21_V001#f0002375,L21_V001.npy,19
