video_id,btc_kf_ordinal,frame_idx,pts_time,fps,frame_offset,offset_verified,frame_idx_corrected
L21_V001,1,0,0.0,30.0,0.0,True,0.0
L21_V001,2,90,3.0,30.0,0.0,True,90.0
L21_V001,3,261,8.7,30.0,0.0,True,261.0
L21_V001,4,351,11.7333,30.0,0.0,True,351.0
L21_V001,5,411,13.7,30.0,0.0,True,411.0
L21_V001,6,531,17.7,30.0,0.0,True,531.0
L21_V001,7,711,23.7,30.0,0.0,True,711.0
L21_V001,8,858,28.6,30.0,0.0,True,858.0
L21_V001,9,921,30.7,30.0,0.0,True,921.0
L21_V001,10,1131,37.7,30.0,0.0,True,1131.0
L21_V001,11,1281,42.7,30.0,0.0,True,1281.0
L21_V001,12,1371,45.7,30.0,0.0,True,1371.0
L21_V001,13,1551,51.7,30.0,0.0,True,1551.0
L21_V001,14,1761,58.7,30.0,0.0,True,1761.0
L21_V001,15,1887,62.9,30.0,0.0,True,1887.0
L21_V001,16,2036,67.8667,30.0,0.0,True,2036.0
L21_V001,17,2130,71.0333,30.0,0.0,True,2130.0
L21_V001,18,2217,73.9,30.0,0.0,True,2217.0
L21_V001,19,2288,76.2667,30.0,0.0,True,2288.0
L21_V001,20,2375,79.1667,30.0,0.0,True,2375.0
