video_id,fps_num,fps_den,n_frames,path
L22_V010,25,1,27276,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V010.mp4
L22_V004,30,1,39128,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V004.mp4
L22_V005,30,1,31218,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V005.mp4
L22_V011,30,1,32881,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V011.mp4
L22_V007,25,1,30032,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V007.mp4
L22_V013,30,1,38015,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V013.mp4
L22_V012,30,1,36143,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V012.mp4
L22_V006,30,1,38606,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V006.mp4
L22_V002,25,1,29681,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V002.mp4
L22_V016,25,1,35920,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V016.mp4
L22_V017,25,1,27579,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V017.mp4
L22_V003,25,1,30626,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V003.mp4
L22_V015,30,1,39244,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V015.mp4
L22_V001,30,1,34901,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V001.mp4
L22_V029,30,1,31679,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V029.mp4
L22_V028,30,1,33445,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V028.mp4
L22_V014,30,1,34157,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V014.mp4
L22_V019,30,1,31019,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V019.mp4
L22_V031,25,1,29754,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V031.mp4
L22_V025,30,1,33875,/Users/hoangcongly/Desktop/AI-Challenge---AIC2026---475/data/raw/videos/videos_L22_a/L22_V025.mp4
