video_id,fps_num,fps_den,n_samples_used,offset,offset_status,offset_confidence
L22_V010,25,1,3,0,ok,5.46513744212963
L22_V004,30,1,8,0,ok_8,3.281900137442129
L22_V005,30,1,3,0,ok,6.757557026427469
L22_V011,30,1,3,0,ok,5.199390673225309
L22_V007,25,1,3,0,ok,4.783031684027778
L22_V013,30,1,8,0,ambiguous,4.975266384548611
L22_V012,30,1,3,0,ok,6.448684895833334
L22_V006,30,1,8,0,ok_8,5.190787579571759
L22_V002,25,1,3,0,ok,5.011867283950617
L22_V016,25,1,3,0,ok,5.205891203703704
L22_V017,25,1,8,0,ok_8,4.5994188678075405
L22_V003,25,1,3,0,ok,5.350067153742284
L22_V015,30,1,3,0,ok,4.720976080246913
L22_V001,30,1,3,0,ok,4.671263382523148
L22_V029,30,1,8,0,ok_8,4.904151320684524
L22_V028,30,1,3,0,ok,12.159071542245371
L22_V014,30,1,3,0,ok,4.876103395061729
L22_V019,30,1,8,0,ok_8,5.761461046006944
L22_V031,25,1,3,0,ok,3.849836516203704
L22_V025,30,1,8,0,ok_8,5.4916237805886245
